"引脚号","引脚名（标准） [1]_ ","引脚名（QuecOpen） [2]_ ","功能 1","功能 2","功能 3","功能 4"
"1","GND","GND",,,,
"2","RESERVED","RESERVED","GPIO17",,,
"3","SPI_MISO","SPI_MISO","GPIO1",,"SPI0_MISO",
"4","SPI_MOSI","SPI_MOSI","GPIO2",,"SPI0_MOSI",
"5","SPI_CLK","SPI_CLK","GPIO3",,"SPI0_CLK",
"6","SPI_CS","SPI_CS","GPIO4",,"SPI0_CS",
"7","PWRKEY","PWRKEY",,,,
"8","RESERVED","RESERVED","GPIO18",,,
"9","ADC","ADC",,,,"ADC0"
"10","GND","GND",,,,
"11","USIM_DATA","USIM_DATA",,,,
"12","USIM_RST","USIM_RST",,,,
"13","USIM_CLK","USIM_CLK",,,,
"14","USIM_VDD","USIM_VDD",,,,
"15","RESET","RESET",,,,
"16","NETLIGHT","NETLIGHT","GPIO5",,,
"17","RXD","RXD",,,,
"18","TXD","TXD",,,,
"19","PSM_EINT","PSM_EINT",,,,
"20","RI","RI","GPIO6",,"I2C1_SCL",
"21","RESERVED","DCD","GPIO7",,"I2C1_SDA",
"22","RESERVED","AUX_CTS","GPIO8",,"I2C0_SDA",
"23","RESERVED","AUX_RTS","GPIO9",,"I2C0_SCL",
"24","VDD_EXT","VDD_EXT",,,,
"25","RESERVED","GPIO2","GPIO10",,,
"26","BT_ANT","RESERVED",,,,
"27","GND","GND",,,,
"28","AUX_RXD","AUX_RXD","GPIO11","UART1_RXD",,
"29","AUX_TXD","AUX_TXD","GPIO12","UART1_TXD",,
"30","RESERVED","GPIO5","GPIO13",,,
"31","RESERVED","GPIO4","GPIO14",,,
"32","RESERVED","GPIO10","GPIO15",,,
"33","RESERVED","GPIO11","GPIO16",,,
"34","GND","GND",,,,
"35","RF_ANT","RF_ANT",,,,
"36","GND","GND",,,,
"37","GND","GND",,,,
"38","DBG_RXD","DBG_RXD",,,,
"39","DBG_TXD","DBG_TXD",,,,
"40","GND","GND",,,,
"41","GND","GND",,,,
"42","VBAT","VBAT",,,,
"43","VBAT","VBAT",,,,
"44","RESERVED","RESERVED",,,,
"45","RESERVED","RESERVED",,,,
"46","RESERVED","RESERVED",,,,
"47","RESERVED","RESERVED",,,,
"48","RESERVED","RESERVED",,,,
"49","RESERVED","RESERVED",,,,
"50","RESERVED","RESERVED",,,,
"51","RESERVED","RESERVED",,,,
"52","RESERVED","RESERVED",,,,
"53","RESERVED","RESERVED",,,,
"54","RESERVED","RESERVED",,,,
"55","RESERVED","RESERVED",,,,
"56","RESERVED","RESERVED",,,,
"57","RESERVED","RESERVED",,,,
"58","RESERVED","RESERVED",,,,
