"引脚号","引脚名（标准） [1]_ ","引脚名（QuecOpen） [2]_ ","功能 1 [3]_ ",功能 2,功能 3,功能 4,功能 5
"1",,,"GPIO10",,,,
"2",,,"GPIO13",,,,
"3",,,"GPIO12",,,,
"4",,,"GPIO11",,,,
"5",,,,,,,
"6",,,,,,,
"7",,,,,,,
"8",,,,,,,
"9",,,"GPIO9",,,,
"10",,,"GPIO43",,,,
"11",,,,,I2C1_SCL,,
"12",,,"GPIO17",,I2C1_SDA,,
"13",,,"GPIO46",,,,
"14",,,"GPIO44",,,,
"15",,,,,,,
"16",,,"GPIO42",,,,
"17",,,,,,,
"18",,,,,,,
"19",,,,,,ADC0,
"20",,,,,,ADC1,
"21",,,,,,,
"22",,,,,,,
"23",,,,,,,
"24",,,,,,,
"25",,,,,,,
"26",,,,,,,
"27",,,,,,,
"28",,,,,,,
"29",,,,,,,
"30",,,,,,,
"31",,,,UART2_RXD,,,
"32",,,,UART2_TXD,,,
"33",,,"GPIO18",UART2_CTS,,,
"34",,,"GPIO3",UART2_RTS,,,
"35",,,,,,,
"36",,,,,,,
"37",,,,,,,
"38",,,,,,,
"39",,,"GPIO23",,,,
"40",,,"GPIO24",,,,
"41",,,,,,,
"42",,,,,,,
"43",,,,,,,
"44",,,,,,,
"45",,,,,,,
"46",,,,,,,
"47",,,,,,,
"48",,,"GPIO22",,,,
"49",,,"GPIO25",,,,
"50",,,"GPIO26",,,,
"51",,,"GPIO29",,SPI1_MISO,,
"52",,,"GPIO28",,SPI1_CLK,,
"53",,,"GPIO27",,SPI1_CS,,
"54",,,"GPIO14",,SPI1_MOSI,,
"55",,,,,,,
"56",,,"GPIO16",,I2C0_SDA,,
"57",,,"GPIO15",,I2C0_SCL,,
"58",,,"GPIO2",,,,
"59",,,"GPIO30",,,,
"60",,,"GPIO4",,,,
"61",,,"GPIO1",,,,
"62",,,"GPIO36",,,,
"63",,,"GPIO32",,,,
"64",,,"GPIO45",,,,
"65",,,"GPIO34",,,,
"66",,,"GPIO31",,,,
"67",,,"GPIO33",,,,
"68",,,,,,,
"69",,,"GPIO5",,,,
"70",,,"GPIO6",,,,
"71",,,,,,,
"72",,,,,,,
"73",,,,,,,
"74",,,,,,,
"75",,,,,,,
"76",,,,,,,
"77",,,,,,,
"78",,,,,,,
"79",,,,,,,
"80",,,,,,,
"81",,,,,,,
"82",,,,,,,
"83",,,,,,,
"84",,,,,,,
"85",,,,,,,
"86",,,,,,,
"87",,,,,,,
"88",,,,,,,
"89",,,,,,,
"90",,,,,,,
"91",,,,,,,
"92",,,,,,,
"93",,,,,,,
"94",,,,,,,
"95",,,,,,,
"96",,,,,,,
"97",,,,,,,
"98",,,,,,,
"99",,,,,,,
"100",,,,,,,
"101",,,,,,,
"102",,,,,,,
"103",,,"GPIO21",,,,
"104",,,"GPIO20",,,,
"105",,,"GPIO37",UART6_RXD,,,
"106",,,"GPIO38",UART6_TXD,,,
"107",,,"GPIO39",,,,
"108",,,,,,,
"109",,,,,,,
"110",,,,,,,
"111",,,,,,,
"112",,,,,,,
"113",,,,,,,
"114",,,,,,,
"115",,,,,,,
"116",,,,,,,
"117",,,,,,,
"118",,,,,,,
"119",,,,,,,
"120",,,"GPIO41",,,,
"121",,,,,,,
"122",,,,,,,
"123",,,"GPIO7",UART1_RXD,,,
"124",,,"GPIO19",UART1_TXD,,,
"125",,,,UART5_TXD,,,
"126",,,"GPIO40",UART5_RXD,,,
"127",,,,,,,
"128",,,,,,,
"129",,,,,,,
"130",,,,,,,
"131",,,,,,,
"132",,,"GPIO8",,,,
"133",,,,,,,
"134",,,,,,,
"135",,,,,,,
"136",,,,,,,
"137",,,"GPIO35",,,,
"138",,,,,,,
"139",,,,,,,
"140",,,,,,,
"141",,,,,,,
"142",,,,,,,
"143",,,,,,,
"144",,,,,,,
"145",,,,,,,
"146",,,,,,,
"147",,,,,,,
"148",,,,,,,
