"引脚号","引脚名（标准） [1]_ ","引脚名（QuecOpen） [2]_ ","功能 1 [3]_ ",功能 2,功能 3,功能 4,功能 5
"1","SPI_CLK","SPI_CLK","GPIO10",,SPI0_CLK,,
"2","SPI_RXD","SPI_RXD","GPIO13",,SPI0_MISO,,
"3","SPI_TXD","SPI_TXD","GPIO12",,SPI0_MOSI,,
"4","SPI_CS","SPI_CS","GPIO11",,SPI0_CS,,
"5","USIM_CLK","USIM1_CLK",,,,,
"6","USIM_DATA","USIM1_DATA",,,,,
"7","USIM_RST","USIM1_RST",,,,,
"8","USIM_VDD","USIM1_VDD",,,,,
"9","USIM_DET","USIM1_DET","GPIO9",,,,
"10","CAM_MCLK","CAM_MCLK","GPIO43",,,,
"11","CAM_l2C_SCL","CAM_l2C_SCL",,,I2C0_SCL,,
"12","CAM_I2C_SDA","CAM_I2C_SDA","GPIO17",,I2C0_SDA,,
"13","CAM_SPI_CLK","CAM_SPI_CLK","GPIO46",,,,
"14","CAM_SPI_DATA0","CAM_SPI_DATA0","GPIO44",,,,
"15","CAM_SPI_DATA1","CAM_SPI_DATA1","GPIO45",,,,
"16","CAM_PWDN","CAM_PWDN","GPIO42",,,,
"17","CAM_VDD","CAM_VDD",,,,,
"18","GND","GND",,,,,
"19","ADC0","ADC0",,,,ADC0,
"20","ADC1","ADC1",,,,ADC1,
"21","SPK_N","SPK_N",,,,,
"22","SPK_P","SPK_P",,,,,
"23","MIC_N","MIC_N",,,,,
"24","MIC_P","MIC_P",,,,,
"25","MIC_BIAS","MIC_BIAS",,,,,
"26","USB_DP","USB_DP",,,,,
"27","USB_DM","USB_DM",,,,,
"28","USB_VBUS","USB_VBUS",,,,,
"29","VBAT_SENSE","VBAT_SENSE",,,,,
"30","GND","GND",,,,,
"31","MAIN_RXD","MAIN_RXD",,UART2_RXD,,,
"32","MAIN_TXD","MAIN_TXD",,UART2_TXD,,,
"33","MAIN_CTS","MAIN_CTS","GPIO18",,,,
"34","MAIN_RTS","MAIN_RTS","GPIO3",,,,
"35","GND","GND",,,,,
"36","VBAT_RF","VBAT_RF",,,,,
"37","VBAT_RF","VBAT_RF",,,,,
"38","GND","GND",,,,,
"39","MAIN_DTR","MAIN_DTR","GPIO23",,,,
"40","MAIN_RI","MAIN_RI","GPIO24",,,,
"41","GND","GND",,,,,
"42","ANT_BT / WIFI_SCAN","ANT_BT / WIFI_SCAN",,,,,
"43","GND","GND",,,,,
"44","GND","GND",,,,,
"45","GND","GND",,,,,
"46","ANT_MAIN","ANT_MAIN",,,,,
"47","GND","GND",,,,,
"48","MAIN_DCD","MAIN_DCD","GPIO22",,,,
