"引脚号","引脚名（标准） [1]_ ","引脚名（QuecOpen） [2]_ ","功能 1 [3]_ ","功能 2","功能 3","功能 4",功能 5
"1","GND",,,,,,
"2","ANT_GNSS",,,,,,
"3","RESERVED",,,,,,
"4","RESERVED",,,,,,
"5","RESERVED",,,,,,
"6","RESERVED",,,,,,
"7","PWRKEY",,,,,,
"8","RESERVED",,,,,,
"9","ADC0",,,,,,
"10","GND",,,,,,
"11","USIM_DATA",,,,,,
"12","USIM_RST",,,,,,
"13","USIM_CLK",,,,,,
"14","USIM_VDD",,,,,,
"15","RESET_N",,,,,,
"16","NET_STATUS",,"GPIO36",,,"PWM2",
"17","MAIN_RXD",,"GPIO25","UART2_RXD",,,
"18","MAIN_TXD",,"GPIO26","UART2_TXD",,,
"19","MAIN_DTR",,"GPIO27",,,,
"20","MAIN_RI",,"GPIO28",,,,
"21","MAIN_DCD",,"GPIO29",,,"PWM3",
"22","MAIN_CTS",,"GPIO30",,,,
"23","MAIN_RTS",,"GPIO31",,,,
"24","VDD_EXT",,,,,,
"25","STATUS",,"GPIO12",,,"PWM1",
"26","RESERVED",,,,,,
"27","GND",,,,,,
"28","AUX_RXD",,"GPIO32","UART1_RXD",,,
"29","AUX_TXD",,"GPIO33","UART1_TXD",,,
"30","PCM_CLK",,"GPIO1",,,,
"31","PCM_SYNC",,"GPIO2",,,,
"32","PCM_DIN",,"GPIO3",,,,
"33","PCM_DOUT",,"GPIO4",,,,
"34","GND",,,,,,
"35","ANT_MAIN",,,,,,
"36","GND",,,,,,
"37","GND",,,,,,
"38","DBG_RXD",,"GPIO34",,,,
"39","DBG_TXD",,"GPIO35",,,,
"40","GND",,,,,,
"41","GND",,,,,,
"42","VBAT",,,,,,
"43","VBAT",,,,,,
"44","RESERVED",,,,,,
"45","GND",,,,,,
"46","GND",,,,,,
"47","GND",,,,,,
"48","GND",,,,,,
"49","RESERVED",,"GPIO5",,,,
"50","RESERVED",,"GPIO6",,,,
"51","RESERVED",,"GPIO7",,,,
"52","RESERVED",,"GPIO8",,,,
"53","RESERVED",,"GPIO9",,,,
"54","RESERVED",,"GPIO10",,,,
"55","RESERVED",,"GPIO11",,,,
"56","RESERVED",,,,,,
"57","RESERVED",,"GPIO13",,"I2C0_SCL",,
"58","RESERVED",,"GPIO14",,"I2C0_SDA",,
"59","USB_DP",,,,,,
"60","USB_DM",,,,,,
"61","USB_VBUS",,,,,,
"62","RESERVED",,,,,,
"63","RESERVED",,,,,,
"64","RESERVED",,,,,,
"65","RESERVED",,,,,,
"66","I2C_SDA",,"GPIO23",,"I2C1_SDA",,
"67","I2C_SCL",,"GPIO24",,"I2C1_SCL",,
"68","RESERVED",,"GPIO39",,"I2C2_SCL",,
"69","RESERVED",,"GPIO40",,"I2C2_SDA",,
"70","GND",,,,,,
"71","GND",,,,,,
"72","GND",,,,,,
"73","GND",,,,,,
"74","RESERVED",,"GPIO50",,,,
"75","RESERVED",,"GPIO49",,,,
"76","RESERVED",,"GPIO17",,,,
"77","RESERVED",,"GPIO18",,,,
"78","RESERVED",,"GPIO37",,,,
"79","USIM_DET",,"GPIO45",,,"PWM0",
"80","RESERVED",,"GPIO41",,,,
"81","RESERVED",,"GPIO16",,,,
"82","USB_BOOT",,"GPIO19",,,,
"83","RESERVED",,"GPIO20",,,,
"84","RESERVED",,"GPIO15",,,,
"85","RESERVED",,"GPIO38",,,,
"86","RESERVED",,"GPIO21",,,,
"87","RESERVED",,"GPIO22",,,,
"88","GND",,,,,,
"89","GND",,,,,,
"90","GND",,,,,,
"91","GND",,,,,,
"92","GND",,,,,,
"93","GND",,,,,,
"94","GND",,,,,,
"95","RESERVED",,,,,,
"96","RESERVED",,,,,,
"97","RESERVED",,,,,,
"98","ANT_WIFI_SCAN",,,,,,
"99","RESERVED",,,,,,
"100","RESERVED",,"GPIO46",,,,
"101","RESERVED",,"GPIO44",,,,
"102","RESERVED",,,,,,
"103","RESERVED",,"GPIO43",,,,
"104","RESERVED",,,,,,
"105","RESERVED",,,,,,
"106","RESERVED",,,,,,
"107","RESERVED",,"GPIO42",,,,
"108","RESERVED",,"GPIO47",,,,
"109","RESERVED",,"GPIO48",,,,
