"引脚号","引脚名（标准） [1]_ ","引脚名（QuecOpen） [2]_ ","功能 1","功能 2","功能 3","功能 4",功能 5
"1","GND","GND",,,,,
"2","RESERVED","RESERVED",,,,,
"3","MIC_P","MIC_P",,,,,
"4","MIC_N","MIC_N",,,,,
"5","SPK_P","SPK_P",,,,,
"6","SPK_N","SPK_N",,,,,
"7","PWRKEY","PWRKEY",,,,,
"8","RESERVED","CAM_VDD",,,,,
"9","RESERVED","ADC",,,,"ADC0",
"10","GND","GND",,,,,
"11","USIM_DATA","USIM_DATA",,,,,
"12","USIM_RST","USIM_RST",,,,,
"13","USIM_CLK","USIM_CLK",,,,,
"14","USIM_VDD","USIM_VDD",,,,,
"15","RESET_N","RESET_N",,,,,
"16","NET_STATUS","NET_STATUS","GPIO36",,,"PWM2",
"17","MAIN_RXD","MAIN_RXD","GPIO25","UART2_RXD",,,
"18","MAIN_TXD","MAIN_TXD","GPIO26","UART2_TXD",,,
"19","MAIN_DTR","MAIN_DTR","GPIO27",,,,
"20","MAIN_RI","MAIN_RI","GPIO28",,,,
"21","MAIN_DCD","MAIN_DCD","GPIO29",,,,
"22","MAIN_CTS","MAIN_CTS","GPIO30",,,,
"23","MAIN_RTS","MAIN_RTS","GPIO31",,,,
"24","VDD_EXT","VDD_EXT",,,,,
"25","STATUS","STATUS",,,,,
"26","RESERVED","RESERVED",,,,,
"27","GND","GND",,,,,
"28","AUX_RXD","AUX_RXD","GPIO32",,,,
"29","AUX_TXD","AUX_TXD","GPIO33",,,,
"30","PCM_CLK","PCM_CLK","GPIO1",,"SPI0_CLK",,
"31","PCM_SYNC","PCM_SYNC","GPIO2",,"SPI0_CS",,
"32","PCM_DIN","PCM_DIN","GPIO3",,"SPI0_MOSI",,
"33","PCM_DOUT","PCM_DOUT","GPIO4",,"SPI0_MISO",,
"34","GND","GND",,,,,
"35","ANT_MAIN","ANT_MAIN",,,,,
"36","GND","GND",,,,,
"37","GND","GND",,,,,
"38","DBG_RXD","DBG_RXD","GPIO34","UART0_RXD",,,
"39","DBG_TXD","DBG_TXD","GPIO35","UART0_TXD",,,
"40","GND","GND",,,,,
"41","GND","GND",,,,,
"42","VBAT","VBAT",,,,,
"43","VBAT","VBAT",,,,,
"44","RESERVED","RESERVED",,,,,
"45","GND","GND",,,,,
"46","GND","GND",,,,,
"47","GND","GND",,,,,
"48","GND","GND",,,,,
"49","RESERVED","LCD_RST","GPIO5",,,"PWM3",
"50","RESERVED","LCD_SPI_DOUT","GPIO6","UART1_TXD","SPI1_MOSI",,
"51","RESERVED","LCD_SPI_RS","GPIO7","UART1_RXD","SPI1_MISO",,
"52","RESERVED","LCD_SPI_CS","GPIO8",,"SPI1_CS",,
"53","RESERVED","LCD_SPI_CLK","GPIO9",,"SPI1_CLK",,
"54","RESERVED","CAM_MCLK","GPIO10",,,,
"55","RESERVED","CAM_SPI_DATA0","GPIO11",,,,
"56","RESERVED","CAM_SPI_DATA1","GPIO12",,,,
"57","RESERVED","CAM_I2C_SCL","GPIO13",,,,
"58","RESERVED","CAM_I2C_SDA","GPIO14",,,,
"59","USB_DP","USB_DP",,,,,
"60","USB_DM","USB_DM",,,,,
"61","USB_VBUS","USB_VBUS",,,,,
"62","RESERVED","USIM2_CLK",,,,,
"63","RESERVED","USIM2_RST",,,,,
"64","RESERVED","USIM2_DATA",,,,,
"65","RESERVED","USIM2_VDD",,,,,
"66","I2C_SDA","I2C_SDA","GPIO23",,"I2C0_SDA",,
"67","I2C_SCL","I2C_SCL","GPIO24",,"I2C0_SCL",,
"68","RESERVED","RESERVED",,,,,
"69","RESERVED","RESERVED",,,,,
"70","GND","GND",,,,,
"71","GND","GND",,,,,
"72","GND","GND",,,,,
"73","GND","GND",,,,,
"74","RESERVED","RESERVED",,,,,
"75","RESERVED","RESERVED",,,,,
"76","RESERVED","KP_MKOUT[2]","GPIO17",,,,KP_MKOUT[2]
"77","RESERVED","KP_MKIN[2]","GPIO18",,,,KP_MKIN[2]
"78","RESERVED","LCD_TE","GPIO37",,,"PWM1",KP_MKOUT[3]
"79","USIM_DET","USIM_DET",,,,"PWM0",KP_MKIN[3]
"80","RESERVED","CAM_SPI_CLK","GPIO15",,,,
"81","RESERVED","CAM_PWDN","GPIO16",,,,
"82","USB_BOOT","USB_BOOT / KP_MKOUT[4]","GPIO19",,,,KP_MKOUT[4]
"83","RESERVED","KP_MKIN[4]","GPIO20",,,,KP_MKIN[4]
"84","RESERVED","RESERVED",,,,,
"85","RESERVED","RESERVED",,,,,
"86","RESERVED","KP_MKOUT[1]","GPIO21",,,,KP_MKOUT[1]
"87","RESERVED","KP_MKIN[1]","GPIO22",,,,KP_MKIN[1]
"88","GND","GND",,,,,
"89","GND","GND",,,,,
"90","GND","GND",,,,,
"91","GND","GND",,,,,
"92","GND","GND",,,,,
"93","GND","GND",,,,,
"94","GND","GND",,,,,
